"target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"AGR2",6,27.7825927786446,3.49275550082825e-264,6.01766845237699e-260
"KRT18",6,43.0042500182646,3.68206497604498e-235,3.17191487361395e-231
"TPM1",25,110.584124243366,1.8456227164429e-202,1.05994112605315e-198
"COL5A1",4,17.5682303897235,2.54226800912519e-190,1.09501838823045e-186
"ELF3",10,57.8405901014577,3.76784605913926e-185,1.29832439505821e-181
"NRP2",9,38.7388762521122,1.4027719650398e-181,4.02805969761178e-178
"IL11",4,16.3694017338795,1.53314331046318e-180,3.77350372799573e-177
"HERC4",13,46.9425931549286,1.6874698250485e-174,3.63417720197008e-171
"KRT8",14,75.5533155243799,2.79667552948014e-170,5.35376918860147e-167
"HES1",2,12.4755328699105,3.11689301204892e-167,5.37009497045908e-164
"MFGE8",14,61.9945999671562,4.12908705553653e-160,6.46727644362172e-157
"SPOCK1",4,12.6877323959042,6.30381709493166e-156,9.05070539404813e-153
"DLC1",3,10.8407763762099,7.21529674819727e-155,9.56248828266853e-152
"ABCA1",1,6.04762526219405,9.64229589901855e-139,1.1866222574585e-135
"KCNK5",1,6.20487455060594,4.07828314996449e-138,4.68431602604922e-135
"NR4A1",13,40.8372198079548,9.79251845841755e-138,1.05447062825047e-134
"FGG",8,33.8208827678047,8.98348881601361e-136,9.1045016947705e-133
"GPCPD1",4,19.7558954690048,1.70744704707974e-127,1.63431139856316e-124
"PLEKHH2",4,13.1931546559386,5.20727456579709e-126,4.72190176284832e-123
"KRT7",10,57.9902480389931,1.91200985826506e-118,1.64710089240244e-115
"CNTN1",8,43.4770134781722,1.15599974745944e-113,9.48415221379935e-111
"PHLDB2",10,33.7756862408272,4.06398948639548e-113,3.18265794823217e-110
"EPHB2",4,16.9545741067904,2.89987076623407e-112,2.17225536658464e-109
"PTPRJ",3,17.5494002874316,3.61217790204477e-111,2.59309221143039e-108
"AKR1B1",14,62.2327495301959,2.14433619422251e-108,1.47779073161038e-105
"EFEMP1",2,11.2123316446947,5.12754770098737e-108,3.39778920539659e-105
"ALDH3A1",13,83.3483971879751,1.13454593226215e-107,7.23966365442393e-105
"GLYCTK",5,22.6818455392946,6.04226306062755e-107,3.71793393826971e-104
"APOH",2,11.7529839763506,2.14237636491443e-104,1.27279318590037e-101
"FOS",8,40.6181481978762,2.13222622221269e-101,1.22453751941675e-98
"AKR1C2",11,70.0000664555101,1.06937033091976e-100,5.94328433271503e-98
"CLMP",3,9.83419277365656,1.40726480768239e-100,7.57680167861248e-98
"FGFR4",13,53.1549399129268,3.958294779484e-100,2.0665897198706e-97
"MTUS1",14,59.0971308858682,4.29967503200354e-100,2.17879709195262e-97
"SLC7A7",13,44.677877574377,7.83214994442457e-100,3.85543175407117e-97
"RNF43",6,19.6173039021201,3.06722933396808e-94,1.46792483874822e-91
"GFRA1",4,10.5511845647876,1.49022234271389e-93,6.93920020070747e-91
"AXL",5,22.3729021778392,1.08267401307471e-92,4.90878699243793e-90
"FGB",7,31.5764201566623,1.75460503101547e-92,7.75130514855526e-90
"RAP1GAP",8,34.6111219389902,1.12897127355218e-91,4.86276151800762e-89
"PMP22",5,16.5381189087501,3.63376161892637e-91,1.5269775349386e-88
"PAQR5",5,21.2470220104505,9.63753658957749e-91,3.95345518813882e-88
"DOK4",15,52.8727059051037,6.9166970816062e-89,2.77134358183705e-86
"PLXNA2",2,6.84979168019805,2.37029567820285e-88,9.28132369085382e-86
"FLRT3",3,13.5644521305058,2.22596371976074e-86,8.52247309505729e-84
"EPB41L4A",4,13.3057009483791,7.75886711391051e-86,2.90603307620792e-83
"HAPLN3",5,18.3189415033415,7.14146906343002e-85,2.6178802232731e-82
"TP53I3",5,26.866462289563,1.22631287080153e-81,4.40169676063323e-79
"FOSB",9,39.8254055220852,5.89114926873457e-81,2.07140021940873e-78
"NPTX1",3,11.9196044001382,5.9374232000103e-80,2.04591728625955e-77
"OSGIN1",5,22.5584381647253,1.44358463928028e-79,4.87676857846273e-77
"FGL1",9,27.8818566312005,3.32798296151939e-79,1.10265035469265e-76
"TGFBI",13,51.5991476350041,4.31476051077269e-77,1.40262280830382e-74
"LOXL2",6,16.4675643259404,8.2924811832706e-77,2.64576219086239e-74
"PREX1",1,6.29647921546739,1.21307666580422e-76,3.80001779548016e-74
"FRAS1",5,24.046493540713,2.65412603100121e-76,8.16570310502139e-74
"SLPI",1,5.52384357995598,1.89700622055759e-75,5.73395090771696e-73
"MPP6",6,27.2647876540795,2.19758806478297e-75,6.52797323588722e-73
"CAV1",7,35.6772966060934,3.51323689414583e-73,1.02592471947862e-70
"CYP4F3",5,18.0531085197449,1.07056167609919e-72,3.07411785291883e-70
