Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
1_1_L3_R1_001_ij43KLkHk1vK	65.7530629145	150.520842752	34687742.0	18.1818181818	48.0
1_1_L3_R2_001_qyjToP2TB6N7	64.4568786793	150.448764206	34687742.0	9.09090909091	49.0
1_2_L3_R1_001_DnNWKUYhfc9S	65.4669574999	150.538841907	34391514.0	18.1818181818	48.0
1_2_L3_R2_001_SNLaVsTQ6pwl	63.9735503324	150.467253288	34391514.0	9.09090909091	49.0
1_5_L3_R1_001_iXvvRzwmFxF3	66.0567161104	150.385130186	32059284.0	18.1818181818	48.0
1_5_L3_R2_001_iXCMrktKyEh0	63.8860582766	150.320261894	32059284.0	9.09090909091	48.0
P1_L3_R1_001_9L0tZ86sF4p8	66.5572051233	150.527621628	32840352.0	18.1818181818	48.0
P1_L3_R2_001_yd9NfV9WdvvL	64.976372322	150.454589281	32840352.0	18.1818181818	49.0
P2_L3_R1_001_R82RphLQ2938	68.1972295226	150.478683596	32894526.0	18.1818181818	49.0
P2_L3_R2_001_06FRMIIGwpH6	65.4163247875	150.397818774	32894526.0	18.1818181818	50.0
P3_L3_R1_001_fjv6hlbFgCST	67.4397423007	150.427492653	33414876.0	18.1818181818	48.0
P3_L3_R2_001_xo7RBLLYYqeu	65.4014524207	150.352725056	33414876.0	18.1818181818	49.0
